MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-347.47406,164.07495,-35.859962,10.045755,16.664318,-19.05201,4.9943104,-0.9711905,-6.3422756,6.763894,-10.747501,-15.048639,-9.221523
-351.93802,156.45294,-38.935814,13.122573,16.457033,-18.823875,10.070692,1.2869198,-8.154048,2.6425123,-16.447292,-16.258152,-7.822608
-359.95798,152.51932,-35.814266,16.903324,25.001083,-11.389071,7.966727,-6.896354,-20.339758,-6.9520707,-12.87671,-4.786275,1.6225249
-355.26028,158.04568,-36.0148,13.496277,25.202972,-13.607727,3.1608863,-4.0467324,-15.352031,-6.9675198,-12.159487,-4.9743814,-2.4357038
-355.44458,156.3794,-34.988525,18.648407,25.247093,-17.455505,2.0123565,-6.045319,-17.079285,-4.349339,-10.8215275,-7.0178146,-4.119047
-355.5943,157.07483,-31.284954,21.875523,26.19746,-13.958849,1.9221908,-12.036343,-17.350048,-2.376166,-12.975864,-5.890873,-3.2943728
-349.53635,161.20885,-33.98108,17.903053,24.099693,-14.82197,2.6024237,-9.874235,-13.201236,4.1993766,-8.419384,-4.6041026,-0.89285463
-343.82166,165.59714,-33.66475,20.349312,25.110315,-18.817307,4.175731,-4.7836924,-15.23254,4.1280313,-5.6021137,-10.871583,-8.312885
-344.81372,170.04065,-25.945618,24.874466,27.994957,-21.91222,0.31163785,-1.9707686,-15.078653,-0.11074117,-6.9759235,-10.491121,-7.29607
-346.02725,168.02539,-30.0508,19.31685,24.6265,-24.134018,-3.5707853,-6.791652,-19.399529,-0.34499472,-0.3636452,-1.7289451,-1.5479125
-345.6772,168.02737,-33.404934,12.025471,21.94327,-18.60689,-0.19441402,-7.430902,-17.879284,-1.3916833,-1.9181958,5.2198415,5.197347
-347.9979,168.16875,-32.48525,10.612856,22.227428,-21.032963,-6.016129,-8.662122,-15.846056,-1.1288742,-1.8088751,7.8431897,8.2737875
-347.73416,172.49919,-26.775465,10.091944,17.518011,-24.381924,-5.1210637,-8.373217,-18.227428,1.0614381,0.24091089,4.3444242,9.772545
-352.19986,168.29352,-26.638746,12.340433,16.753187,-27.864536,-4.346553,-3.875196,-17.144789,-0.5463923,-0.6356294,4.8030186,13.297584
-352.1245,164.24574,-28.399122,20.380325,23.784138,-27.103996,-6.2813454,-4.892561,-15.490508,0.43439996,1.4266609,8.591665,11.402119
-340.59497,166.60681,-38.4356,15.117043,23.16182,-19.7262,5.488286,0.9256596,-14.9090605,-5.0840783,-5.3881607,8.645965,14.055203
-333.8282,170.3399,-40.829987,13.386339,20.751305,-21.197903,8.015916,0.9926976,-18.325119,-6.1347017,-7.1713786,4.7676105,14.27736
-334.54138,171.0397,-38.591778,14.910244,20.48211,-23.085114,7.513866,-0.45537806,-24.567059,-8.672947,-2.931055,3.8797834,6.842105
-335.61835,169.30783,-37.5166,15.500035,15.745682,-23.240913,14.389062,5.45962,-19.784986,-7.3691015,-5.5299006,4.760281,9.409193
-334.59036,168.74911,-41.57428,9.815319,12.439121,-21.548412,18.035675,9.356495,-13.422195,-0.8319763,-1.8229557,7.566957,11.771593
-335.87988,163.93149,-48.170307,8.026165,12.983625,-24.482595,14.320797,7.8323917,-14.793413,-3.1481433,-3.9151468,9.484046,17.757812
-336.7774,163.75299,-47.605003,10.072513,15.328838,-25.823345,13.891247,8.654517,-18.641777,-9.258797,-12.265606,0.77454317,16.412235
-339.31845,167.91733,-41.618824,7.926585,16.39375,-22.235247,12.345455,4.8741508,-23.070103,-10.519437,-10.376308,-1.2995138,14.051987
-343.64774,163.61046,-41.78321,12.854048,22.684252,-20.962475,11.136759,4.9193516,-24.567291,-10.652312,-7.3975964,-0.6740651,14.748808
-338.65866,163.42426,-46.628952,11.875713,21.095335,-20.545595,16.298422,8.993231,-23.302845,-10.584866,-3.3120456,5.7047668,11.695248
-333.69263,165.98587,-50.470787,11.830756,30.796917,-11.620435,16.390661,6.181774,-25.10599,-13.071384,-3.4191055,9.344229,12.869823
-331.05496,169.92288,-51.65436,3.222282,23.88618,-14.300054,15.072461,9.161911,-21.12984,-14.619114,-7.4562054,5.6055994,8.974419
-336.83768,169.28802,-48.536907,-1.0452232,17.77784,-19.892574,11.439833,9.924871,-25.158043,-22.237751,-8.697437,6.2138734,9.955738
-337.69684,168.65376,-46.846245,2.067802,20.202719,-16.931034,13.953041,10.45941,-24.401987,-22.120205,-10.260541,6.115175,11.414818
-336.44,163.48224,-48.66507,7.0776896,13.416607,-22.163855,15.566107,5.4755454,-21.699326,-12.634857,-10.341898,8.636506,18.510525
-339.45395,157.47643,-50.850067,9.808355,12.866855,-19.701567,22.132526,4.515707,-26.70021,-14.03253,-10.801798,6.7901363,14.647505
-336.09335,161.07144,-50.704884,9.881276,16.41555,-16.731617,24.679,7.259327,-27.297678,-14.023526,-10.394232,2.0610585,12.091461
-332.497,161.75974,-51.61607,11.545682,15.068285,-17.983406,26.454832,8.732446,-24.314564,-11.446933,-11.201839,0.50933033,8.391606
-333.16275,160.12387,-53.646217,9.56721,10.98607,-23.458855,24.493345,11.578851,-19.922005,-9.114967,-11.049646,3.036026,13.315632
-333.6101,161.69427,-52.5264,8.444746,10.871645,-26.366684,21.300873,14.339341,-18.467295,-11.720222,-11.577862,3.5745058,14.259815
-333.04184,165.10277,-48.470886,11.988611,16.491098,-23.927048,20.66122,13.52743,-23.372107,-17.538687,-12.638883,5.34048,13.466779
-340.4896,163.2226,-45.1037,6.9185987,10.571686,-24.033813,21.422268,14.792145,-21.989117,-18.599083,-14.062435,5.9044285,15.275067
-349.34805,156.25293,-45.890205,5.434848,10.838264,-20.258095,24.60187,20.430513,-13.444441,-14.860811,-14.832547,3.986897,12.526897
-341.27094,163.72095,-44.659958,2.7292228,7.6375484,-17.518711,31.526424,21.059233,-19.813122,-18.297482,-11.526606,5.616704,7.4986296
-334.37863,163.6691,-52.213867,3.7162185,15.350979,-11.68375,29.35379,13.485907,-21.467703,-14.413599,-8.25905,8.948281,9.630801
-330.28006,161.49251,-59.205482,1.945605,14.566288,-12.341648,24.966251,5.28638,-21.070122,-9.921346,-9.070801,10.209502,11.843229
-328.93677,162.81699,-59.736603,-1.3077912,13.579559,-8.884811,26.053179,6.8329053,-15.816523,-7.1834474,-4.9987607,17.728828,13.816101
-332.3861,160.08417,-58.790367,0.81439173,14.049804,-10.991783,24.59329,8.171606,-17.576214,-10.666653,-0.6264296,25.816248,17.47467
-338.14426,154.82245,-55.22222,6.7619715,9.196864,-19.284956,25.632381,10.647041,-23.222893,-16.500782,-2.0305529,23.144588,16.647259
-343.3522,150.5025,-51.978287,11.725128,6.025388,-24.96435,26.998055,16.088554,-19.148266,-16.294872,-6.6080046,18.432894,18.82122
